id,dob,photo_taken,full_path,gender,name,face_location,face_score,second_face_score,celeb_names,celeb_id
0,693726,1968,'01/nm0000001_rm124825600_1899-5-10_1968.jpg',1.0,'Fred Astaire',1072.926  161.838 1214.784  303.696,1.4596929136202572,1.1189733571573068,"""'Lee' George Quinones""",6488
1,693726,1970,'01/nm0000001_rm3343756032_1899-5-10_1970.jpg',1.0,'Fred Astaire',477.184 100.352 622.592 245.76 ,2.5431975987694435,1.8520077283411007,"""'Weird Al' Yankovic""",6488
2,693726,1968,'01/nm0000001_rm577153792_1899-5-10_1968.jpg',1.0,'Fred Astaire',114.96964309 114.96964309 451.68657236 451.68657236,3.4555794879098065,2.9856602160994425,'2 Chainz',6488
3,693726,1968,'01/nm0000001_rm946909184_1899-5-10_1968.jpg',1.0,'Fred Astaire',622.88550564 424.21750384 844.33900767 645.67100587,1.8721171693449017,,'50 Cent',6488
4,693726,1968,'01/nm0000001_rm980463616_1899-5-10_1968.jpg',1.0,'Fred Astaire',1013.85900236  233.88204221 1201.5861278   421.60916765,1.1587657871914132,,'A Martinez',6488
5,702986,1991,'02/nm0000002_rm1075631616_1924-9-16_1991.jpg',0.0,'Lauren Bacall', 686.67682059  458.46721373 1198.10043604  969.89082917,3.4905630909496344,1.3453352771625289,'A.D. Miles',11516
6,702986,2004,'02/nm0000002_rm1346607872_1924-9-16_2004.jpg',0.0,'Lauren Bacall', 78.23569407  52.33512938 194.25423516 168.35367048,3.4791889134154426,,'A.J. Buckley',11516
7,702986,2004,'02/nm0000002_rm1363385088_1924-9-16_2004.jpg',0.0,'Lauren Bacall', 64.30867104  64.30867104 207.26768087 207.26768087,3.87017062712482,,'A.J. Cook',11516
8,702986,1991,'02/nm0000002_rm1411175936_1924-9-16_1991.jpg',0.0,'Lauren Bacall', 212.76723692 1055.64418461  526.79809231 1357.824     ,3.786498646396679,3.6297041401689762,'A.J. Johnson',11516
9,702986,2004,'02/nm0000002_rm1447271168_1924-9-16_2004.jpg',0.0,'Lauren Bacall',242.176  49.664 278.528  86.016,3.472943641929206,2.9451325883872235,'A.J. Langer',11516
10,702986,2008,'02/nm0000002_rm1624085760_1924-9-16_2008.jpg',0.0,'Lauren Bacall',108.03894851  28.82624961 158.4253978   79.2126989 ,3.862810681579513,1.5253068067046478,'A.J. McLean',11516
11,702986,1991,'02/nm0000002_rm1646056960_1924-9-16_1991.jpg',0.0,'Lauren Bacall',  72.28774564 1055.64418461  386.31860102 1366.016     ,3.767166077822234,3.4634604907317743,'A.J. Saudin',11516
12,702986,1974,'02/nm0000002_rm221957120_1924-9-16_1974.jpg',0.0,'Lauren Bacall',3173.14469259  401.04083657 4059.15207489 1287.04821887,4.0964305784174595,,'A.J. Trauth',11516
13,702986,2007,'02/nm0000002_rm2287049216_1924-9-16_2007.jpg',0.0,'Lauren Bacall',138.80620248  33.92673853 181.15543773  76.27597378,3.482030102193067,,'A.R. Rahman',11516
14,702986,1974,'02/nm0000002_rm238734336_1924-9-16_1974.jpg',0.0,'Lauren Bacall',2135.21778394  765.85377998 3499.48578791 2130.12178394,4.865421340351039,,'AJ Bowen',11516
15,702986,2006,'02/nm0000002_rm2585828096_1924-9-16_2006.jpg',0.0,'Lauren Bacall', 70.08922574  87.46603217 225.89848365 243.27529008,5.414545418118097,,'AJ Michalka',11516
16,702986,2006,'02/nm0000002_rm2602605312_1924-9-16_2006.jpg',0.0,'Lauren Bacall', 52.186 121.05  129.12  197.984,4.349961336330576,3.2055228809775484,'Aaliyah',11516
17,702986,2006,'02/nm0000002_rm2619382528_1924-9-16_2006.jpg',0.0,'Lauren Bacall',213.212  58.588 299.584 144.96 ,4.361549044046393,1.494864797383042,'Aamir Khan',11516
18,702986,2006,'02/nm0000002_rm2769394176_1924-9-16_2006.jpg',0.0,'Lauren Bacall',109.42467459  82.24100594 231.0611835  203.87751485,4.360469497529326,,'Aaron Abrams',11516
19,702986,2004,'02/nm0000002_rm2780403712_1924-9-16_2004.jpg',0.0,'Lauren Bacall',117.05057012  74.12636008 171.69684018 128.77263014,3.5592090092501407,,'Aaron Ashmore',11516
